riskCategory,neighborhood,address,city,state,year,stories,retrofitLevel,occupancyType,occupantLoad,confirmationSource,FID,x,y
M,Univ Dist,4747 University Way NE,Seattle,Washington,1921,1,No visible,C,2,SIM,1131,-122.313110391291,47.6644289972607
M,Univ Dist,4105 Brooklyn Ave NE,Seattle,Washington,1927,4,No visible,R,2,GSV,1132,-122.314420435911,47.6570302734942
M,Queen Anne,15 Nickerson St,Seattle,Washington,1919,1,Sub Alt,C,2,PR,1133,-122.35682090205,47.6493436666413
H,Univ Dist,4759 15th Ave NE,Seattle,Washington,1927,2,No visible,P,3,GSV,1134,-122.311970511841,47.6647098872213
C,Univ Dist,4105 Memorial Way NE,Seattle,Washington,1902,4,Permit,S,3,UWD,1135,-122.309759693248,47.6602216233458
M,Univ Dist,5003 15th Ave NE,Seattle,Washington,1926,4,No visible,R,2,GSV,1136,-122.311970511841,47.6650793572492
M,Queen Anne,1506 Queen Anne Ave N,Seattle,Washington,1924,1,No visible,C,1,GSV,1137,-122.356958433222,47.6326790561218
M,Univ Dist,4133 University Way NE,Seattle,Washington,1920,1,No visible,C,2,GSV,1138,-122.313239763964,47.6578298208589
H,Univ Dist,5009 Roosevelt Way NE,Seattle,Washington,1909,1,Permit,P,3,PR,1139,-122.317460112949,47.6655222550231
M,Queen Anne,1529 4th Ave W,Seattle,Washington,1921,3,No visible,G,2,GSV,1140,-122.36240024755,47.6332792993266
M,Univ Dist,4134 11th Ave NE,Seattle,Washington,1926,1,Permit,R,2,PR,1141,-122.316638421263,47.6579382141356
M,Queen Anne,1530 Queen Anne Ave N,Seattle,Washington,1920,3,No visible,C,3,GSV,1142,-122.356958433222,47.6332699751084
M,Univ Dist,5201 University Way NE,Seattle,Washington,1928,1,No visible,C,3,SIM,1143,-122.313099900765,47.6667204099797
M,Univ Dist,4137 University Way NE,Seattle,Washington,1908,3,No visible,C/R,2,GSV,1144,-122.313239763964,47.6579603589059
M,Univ Dist,4145 University Way NE,Seattle,Washington,1927,1,Visible,C,3,GSV,1145,-122.313230439451,47.6581701525924
C,Univ Dist,5601 University Way NE,Seattle,Washington,1925,1,Permit,S,3,GSV,1146,-122.313080087523,47.6696388731461
M,Queen Anne,1530 Westlake Ave N,Seattle,Washington,1923,2,Visible,Mixed,2,GSV,1147,-122.340675874911,47.6329976530852
M,Univ Dist,5649 University Way NE,Seattle,Washington,1925,1,No visible,C,2,WC,1148,-122.313089411138,47.6707636002493
H,Queen Anne,1608 4th Ave W,Seattle,Washington,1905,2,No visible,P,3,Field,1149,-122.36230817203,47.6339389839944
C,Univ Dist,4182 E Stevens Way NE,Seattle,Washington,1896,4,Permit,S,3,PR,1150,-122.304726420134,47.6569687747893
M,Univ Dist,5810 Cowen Pl NE,Seattle,Washington,1928,4,No visible,R,2,PR,1151,-122.312519472311,47.6715748025435
M,Queen Anne,1735 Westlake Ave N,Seattle,Washington,1934,2,No visible,C/O,2,GSV,1152,-122.340460492143,47.6347769930644
M,Univ Dist,4200 University Way NE,Seattle,Washington,1916,3,No visible,C/R,3,GSV,1153,-122.313138363033,47.6585081532378
M,Queen Anne,1820 Queen Anne Ave N,Seattle,Washington,1927,2,Permit,C,3,GSV,1154,-122.356928129454,47.6354285190094
M,Queen Anne,1821 10th Ave W,Seattle,Washington,1929,1,Visible,O,2,GSV-R,1155,-122.370409703878,47.6354599880742
M,Queen Anne,1829 10th Ave W,Seattle,Washington,1928,1,No visible,O,2,GSV,1156,-122.370409703878,47.6355800366892
M,Queen Anne,201 Galer St,Seattle,Washington,1908,4,Permit,R,3,PR,1157,-122.352099378476,47.6322921033967
M,Queen Anne,209 W Olympic Pl,Seattle,Washington,1925,4,No visible,R,2,GSV,1158,-122.359869902702,47.626691778317
H,Queen Anne,2125 Queen Anne Ave N,Seattle,Washington,1929,1,No visible,P,3,SIM,1159,-122.356989902105,47.6378796080351
M,Queen Anne,2128 Queen Anne Ave N,Seattle,Washington,1933,1,No visible,C,2,Ph,1160,-122.356908315314,47.6380497744224
M,Queen Anne,2129 Queen Anne Ave N,Seattle,Washington,1910,1,No visible,C,2,SIM,1161,-122.356989902105,47.6379693535938
