riskCategory,neighborhood,address,city,state,year,stories,retrofitLevel,occupancyType,occupantLoad,confirmationSource,FID,x,y
M,Beacon Hill,5919 Airport Way S,Seattle,Washington,1900,2,No visible,R,2,GSV,125,-122.317383188414,47.5496765227404
M,Capitol Hill,303 Harvard Ave E,Seattle,Washington,1949,3,No visible,R,2,GSV,126,-122.322157160126,47.6212196598748
M,Beacon Hill,6010 Airport Way S,Seattle,Washington,1910,2,No visible,O,2,GSV,127,-122.31658713824,47.5489818723153
M,Capitol Hill,305 Bellevue Ave E,Seattle,Washington,1908,5,Visible,R,3,GSV,128,-122.326600123317,47.6211578871001
M,Belltown,11 Vine St,Seattle,Washington,1911,3,Sub Alt,C/O,3,Ph,129,-122.351202835568,47.6140425914861
M,Capitol Hill,309 Belmont Ave E,Seattle,Washington,1928,3,No visible,R,2,GSV,130,-122.324030151087,47.6211590526706
H,Capitol Hill,309 E Harrison St,Seattle,Washington,1928,6,No visible,R,2,GSV,131,-122.327548857444,47.621931792894
M,Belltown,112 Stewart St,Seattle,Washington,1909,8,Sub Alt,C/R,3,Ph,132,-122.341286393334,47.6103798745229
M,Belltown,115 Blanchard St,Seattle,Washington,1910,4,Visible,C/R,3,GSV,133,-122.344540978829,47.6131053072473
M,Belltown,1617 Post Al,Seattle,Washington,1908,3,No visible,C/R,3,PR,134,-122.341644661232,47.6097276287354
M,Belltown,1901 3rd Ave,Seattle,Washington,1916,2,No visible,C,3,GSV,135,-122.33984626278,47.6116938617393
M,Belltown,1902 Post Al,Seattle,Washington,1925,2,Visible,C,3,GSV,136,-122.341904571692,47.6100947679233
M,Belltown,1907 1st Ave,Seattle,Washington,1914,6,No visible,C/R,3,GSV,137,-122.341674964102,47.6104840518698
M,Belltown,1914 Post Al,Seattle,Washington,1910,5,No visible,C/O,3,GSV,138,-122.342124855667,47.6102253059627
M,Belltown,1918 1st Ave,Seattle,Washington,1909,6,No visible,C/R,3,Ph,139,-122.341834640542,47.6106448938152
M,Belltown,1920 Post Al,Seattle,Washington,1910,5,Permit,C/O,3,Field,140,-122.342231709372,47.6102884464193
M,Belltown,1921 2nd Ave,Seattle,Washington,1917,1,No visible,C,2,GSV,141,-122.341325308352,47.6113943228837
M,Belltown,1921 3rd Ave,Seattle,Washington,1910,6,Permit,Mixed,3,GSV,142,-122.340385898737,47.6120446832531
M,Belltown,1924 1st Ave,Seattle,Washington,1909,5,Visible,C/O,3,GSV,143,-122.34216448305,47.6108453628025
M,Belltown,1924 Post Al,Seattle,Washington,1906,5,Visible,C/R,2,Ph,144,-122.342514138799,47.6104549139194
M,Belltown,1929 3rd Ave,Seattle,Washington,1914,3,Sub Alt,C/O,3,GSV,145,-122.340536250665,47.6121344283642
M,Belltown,1930 Post Al,Seattle,Washington,1901,5,Visible,Mixed,3,GSV,146,-122.342725098262,47.6105749624374
M,Belltown,2019 3rd Ave,Seattle,Washington,1918,2,Permit,O,2,GSV,147,-122.341684288614,47.6128337406994
M,Belltown,2001 3rd Ave,Seattle,Washington,1919,2,No visible,C/O,3,GSV,148,-122.341124838517,47.6125038985341
M,Belltown,2025 3rd Ave,Seattle,Washington,1923,1,No visible,C,2,GSV,149,-122.341793847147,47.612894347865
M,Belltown,2030 1st Ave,Seattle,Washington,1918,3,Visible,C/O,3,GSV,150,-122.343624879597,47.6116950275207
M,Belltown,2006 2nd Ave,Seattle,Washington,1917,1,No visible,C,2,GSV,151,-122.342153993422,47.6119549385936
M,Belltown,2031 3rd Ave,Seattle,Washington,1919,2,Permit,O,2,GSV,152,-122.341974502842,47.6130039068871
M,Belltown,2012 2nd Ave,Seattle,Washington,1924,1,Visible,C,2,GSV,153,-122.342059527485,47.6119042954602
M,Belltown,2100 1st Ave,Seattle,Washington,1920,1,Permit,C/O,3,GSV,154,-122.344223957077,47.6120446832531
M,Belltown,2101 1st Ave,Seattle,Washington,1901,5,Visible,C/R,3,GSV,155,-122.344004840013,47.6118442140183
M,Belltown,2018 1st Ave,Seattle,Washington,1908,3,Permit,C/O,2,Ph,156,-122.343204126684,47.6114549305064
M,Belltown,2101 3rd Ave,Seattle,Washington,1926,1,Permit,C,1,Ph,157,-122.342454697277,47.6132836315627
M,Belltown,2106 2nd Ave,Seattle,Washington,1919,2,No visible,O,2,GSV,158,-122.343553783332,47.6127952786095
M,Belltown,2110 Western Ave,Seattle,Washington,1923,2,Visible,C/O,3,GSV,159,-122.345154043077,47.6114549305064
M,Belltown,2111 3rd Ave,Seattle,Washington,1923,2,Permit,C/O,3,GSV,160,-122.342584069949,47.613364052834
M,Belltown,2112 1st Ave,Seattle,Washington,1904,2,Visible,C,3,GSV,161,-122.344404612772,47.6121554080096
M,Belltown,2114 Western Ave,Seattle,Washington,1902,2,No visible,C,2,GSV,162,-122.345274091237,47.6115353509564
M,Belltown,2119 2nd Ave,Seattle,Washington,1909,4,Visible,Mixed,2,GSV,163,-122.343795045665,47.612864044291
M,Belltown,2121 1st Ave,Seattle,Washington,1926,1,No visible,C,3,GSV,164,-122.344675013757,47.6122439877671
M,Belltown,2132 2nd Ave,Seattle,Washington,1918,6,No visible,R,2,GSV,165,-122.344184329695,47.6131647483496
M,Belltown,2133 3rd Ave,Seattle,Washington,1928,2,No visible,O,2,GSV,166,-122.343324175742,47.613794129523
M,Belltown,2136 1st Ave,Seattle,Washington,1925,1,No visible,C,3,Field,167,-122.345003690252,47.612514387981
M,Belltown,2137 2nd Ave,Seattle,Washington,1927,2,No visible,C/O,2,PR,168,-122.344194819322,47.6131134656796
M,Belltown,2200 Western Ave,Seattle,Washington,1909,5,Sub Alt,C,3,GSV,169,-122.346314900885,47.6121449184907
M,Belltown,2201 1st Ave,Seattle,Washington,1900,4,Visible,C/R,3,GSV,170,-122.345354512015,47.6126542509067
M,Belltown,2204 1st Ave,Seattle,Washington,1910,4,Permit,C/R,2,GSV,171,-122.345334698773,47.6127148576747
M,Belltown,2205 2nd Ave,Seattle,Washington,1923,6,No visible,C/R,3,GSV,172,-122.344535151457,47.6133139354992
M,Capitol Hill,315 12th Ave E,Seattle,Washington,1928,3,No visible,R,2,GSV,173,-122.316820242074,47.6216602267742
M,Capitol Hill,315 Summit Ave E,Seattle,Washington,1930,3,No visible,R,2,GSV,174,-122.325320382465,47.6213187289124
M,Belltown,2209 1st Ave,Seattle,Washington,1910,4,Visible,C/R,3,GSV,175,-122.345564305464,47.6127742992208
M,Capitol Hill,321 Broadway E,Seattle,Washington,1910,4,No visible,C/R,2,Field,176,-122.320970659909,47.6216695506417
M,Belltown,2212 1st Ave,Seattle,Washington,1909,3,Visible,C/R,3,GSV,177,-122.345704168663,47.6129351413895
M,Belltown,2218 1st Ave,Seattle,Washington,1920,1,Permit,C,3,GSV,178,-122.345933776253,47.6130750037955
M,Capitol Hill,325 Harvard Ave E,Seattle,Washington,1928,5,No visible,R,2,GSV,179,-122.322089560104,47.6218280615854
H,Belltown,2220 Western Ave,Seattle,Washington,1913,2,Permit,P,3,GSV,180,-122.346404751278,47.6121943144711
M,Belltown,2221 3rd Ave,Seattle,Washington,1914,1,Permit,C,2,PR,181,-122.344254260844,47.6143442552576
M,Capitol Hill,325 Summit Ave E,Seattle,Washington,1929,4,No visible,R,2,GSV,182,-122.325329706977,47.6216695506417
H,Belltown,2222 2nd Ave,Seattle,Washington,1923,2,No visible,P,3,GSV,183,-122.345094601555,47.6137253638535
M,Capitol Hill,333 Summit Ave E,Seattle,Washington,1929,4,No visible,R,2,GSV,184,-122.325329706977,47.6217989232954
M,Belltown,2224 2nd Ave,Seattle,Washington,1911,3,No visible,C/R,3,GSV,185,-122.345223974227,47.6138046193167
M,Capitol Hill,400 Boylston Ave E,Seattle,Washington,1931,4,No visible,R,2,Ph,186,-122.323018479193,47.6221194417755
M,Belltown,2231 2nd Ave,Seattle,Washington,1900,2,No visible,C/O,2,Ph,187,-122.3454850507,47.6138943644354
C,Capitol Hill,400 E Pine St,Seattle,Washington,1917,3,Visible,E,3,Field,188,-122.326449771389,47.6152370437929
M,Belltown,2234 2nd Ave,Seattle,Washington,1924,1,No visible,C,3,Field,189,-122.345514188455,47.613974785373
M,Capitol Hill,401 15th Ave E,Seattle,Washington,1922,1,No visible,C,2,Ph,190,-122.312669824238,47.6220996280443
M,Belltown,2300 1st Ave,Seattle,Washington,1900,3,Permit,C/R,3,GSV,191,-122.346524694335,47.613424659385
M,Belltown,2301 1st Ave,Seattle,Washington,1902,5,Permit,C/R,3,GSV,192,-122.34666339152,47.6134339841158
M,Capitol Hill,401 E Pine St,Seattle,Washington,1910,2,No visible,C,2,GSV,193,-122.326689868607,47.6151822642276
M,Capitol Hill,405 E Olive St,Seattle,Washington,1923,4,No visible,R,2,GSV,194,-122.326439281762,47.6163116535553
M,Belltown,2303 Western Ave,Seattle,Washington,1908,3,Permit,Mixed,2,GSV,195,-122.347634270017,47.6128337406994
M,Capitol Hill,417 13th Ave E,Seattle,Washington,1910,4,No visible,R,2,GSV,196,-122.315739805044,47.6224306357713
M,Belltown,2320 1st Ave,Seattle,Washington,1888,4,No visible,Mixed,2,GSV,197,-122.347155241595,47.6137754813996
M,Capitol Hill,417 E Union St,Seattle,Washington,1930,3,No visible,R,2,GSV,198,-122.325899645804,47.6129619482686
M,Belltown,2327 2nd Ave,Seattle,Washington,1924,3,No visible,R,3,GSV,199,-122.346644743393,47.6145738626919
M,Capitol Hill,420 Broadway E,Seattle,Washington,1930,1,No visible,C,3,Field,200,-122.320898397631,47.622610125913
M,Belltown,2401 1st Ave,Seattle,Washington,1900,4,Permit,C,3,GSV,201,-122.34803520879,47.6142335308966
M,Capitol Hill,421 E Pike St,Seattle,Washington,1920,2,Permit,C,2,GSV,202,-122.325749293877,47.6140517096061
M,Belltown,2407 1st Ave,Seattle,Washington,,2,No visible,C,2,Ph,203,-122.348225188998,47.6143442552576
H,Capitol Hill,500 Broadway E,Seattle,Washington,1906,1,Permit,P,3,PR,204,-122.320908888157,47.6233688796273
M,Belltown,2408 2nd Ave,Seattle,Washington,1923,3,Visible,R,3,GSV,205,-122.347103958573,47.6149246842634
M,Capitol Hill,500 E Pike St,Seattle,Washington,1924,2,Permit,C,2,GSV-R,206,-122.325299403209,47.6141064891446
M,Capitol Hill,501 E Pine St,Seattle,Washington,1912,3,No visible,C/O,3,GSV,207,-122.325208492804,47.6151717747104
M,Belltown,2420 2nd Ave,Seattle,Washington,1928,1,No visible,O,2,GSV,208,-122.3476738974,47.6152743402019
M,Capitol Hill,504 E Denny Way,Seattle,Washington,1914,4,No visible,R,2,GSV,209,-122.324899629552,47.6185168182216
M,Belltown,2423 1st Ave,Seattle,Washington,1909,3,No visible,C/R,2,GSV,210,-122.348614473028,47.6145738626919
M,Capitol Hill,505 Boylston Ave E,Seattle,Washington,1930,5,No visible,R,2,Ph,211,-122.323080251844,47.6233805348374
C,Belltown,2501 Elliott Ave,Seattle,Washington,1910,4,Sub Alt,S,3,PR,212,-122.350704250823,47.6134841013355
M,Capitol Hill,512 E Pike St,Seattle,Washington,1926,1,No visible,C,2,PR,213,-122.324879815412,47.6141064891446
M,Belltown,2515 Western Ave,Seattle,Washington,1917,2,No visible,Mixed,3,SIM,214,-122.349924517648,47.6141939028995
M,Capitol Hill,516 Bellevue Ave E,Seattle,Washington,1928,4,No visible,R,2,Field,215,-122.326538351564,47.6236194666773
M,Belltown,2604 1st Ave,Seattle,Washington,1903,3,No visible,C/R,3,GSV,216,-122.349904703507,47.615404878635
M,Capitol Hill,516 E Union St,Seattle,Washington,1924,3,No visible,R,2,Field,217,-122.324679346474,47.6130074035381
H,Belltown,2800 1st Ave,Seattle,Washington,1942,3,No visible,P,3,GSV,218,-122.352003805815,47.6166543164891
M,Capitol Hill,517 E Pike St,Seattle,Washington,1910,2,Permit,C,3,Ph,219,-122.324809884262,47.6140517096061
M,Belltown,2819 Elliott Ave,Seattle,Washington,1902,2,No visible,C/O,3,GSV,220,-122.353804535396,47.6152941540976
H,Capitol Hill,601 Broadway E,Seattle,Washington,1931,1,Permit,P,3,Field,221,-122.320999798562,47.6243875442608
H,Belltown,2905 1st Ave,Seattle,Washington,1924,5,Permit,R,2,GSV,222,-122.352904753163,47.6171240215953
M,Capitol Hill,605 E Denny Way,Seattle,Washington,1927,4,No visible,R,2,GSV,223,-122.323689818951,47.6184515489943
M,Belltown,2933 2nd Ave,Seattle,Washington,1925,3,No visible,R,2,GSV,224,-122.352774215376,47.618213782786
M,Capitol Hill,611 E Pine St,Seattle,Washington,1916,2,No visible,C,2,Field,225,-122.323879799159,47.6151915886449
M,Capitol Hill,615 Broadway E,Seattle,Washington,1931,1,No visible,P,2,Field,226,-122.321010288189,47.6248094626765
M,Capitol Hill,616 E Thomas St,Seattle,Washington,1927,3,No visible,R,2,GSV,227,-122.323293542435,47.6210867908882
M,Capitol Hill,619 E Pine St,Seattle,Washington,1917,3,No visible,C,3,Ph,228,-122.323718957604,47.6151915886449
M,Capitol Hill,713 E Pike St,Seattle,Washington,1911,3,No visible,Mixed,2,Ph,229,-122.322699127212,47.6140423855911
H,Capitol Hill,722 E Union St,Seattle,Washington,1912,3,No visible,P,3,PR,230,-122.322480009249,47.6130167277376
M,Capitol Hill,725 E Denny Way,Seattle,Washington,1926,3,No visible,C/R,2,GSV,231,-122.322389098844,47.6187021359999
H,Capitol Hill,801 E Pine St,Seattle,Washington,1915,3,Permit,P,3,Field,232,-122.321769042109,47.6152020781582
H,Capitol Hill,807 E Roy St,Seattle,Washington,1925,3,No visible,P,3,Ph,233,-122.321769042109,47.625091518735
M,Capitol Hill,814 E Pike St,Seattle,Washington,1912,2,Sub Alt,C/O,3,GSV,234,-122.321269033534,47.6140971651394
M,Belltown,3016 1st Ave,Seattle,Washington,1910,4,Permit,R,2,PR,235,-122.354445571386,47.6180948998819
H,Capitol Hill,900 E Pine St,Seattle,Washington,1925,2,No visible,P,3,Field,236,-122.320399555069,47.6152766716051
M,Belltown,3025 1st Ave,Seattle,Washington,1925,1,No visible,C,3,GSV,237,-122.354783572393,47.6182032932714
M,Capitol Hill,905 E Pike St,Seattle,Washington,1912,3,No visible,C/O,3,PR,238,-122.320338948431,47.614062199348
M,Capitol Hill,906 E John St,Seattle,Washington,1924,6,Visible,C/R,3,GSV,239,-122.320390231454,47.6199364222242
M,Capitol Hill,907 E Pine St,Seattle,Washington,1912,2,Visible,P,2,GSV,240,-122.320419369209,47.615211402572
M,Capitol Hill,910 E Pike St,Seattle,Washington,1908,3,No visible,C/R,3,PR,241,-122.320080203087,47.6141169788755
M,Capitol Hill,913 E Pike St,Seattle,Washington,1912,3,No visible,C/O,3,Ph,242,-122.319869243624,47.6140715233595
M,Capitol Hill,914 E Harrison St,Seattle,Washington,1914,4,Visible,R,2,GSV,243,-122.320229389001,47.6220063864279
M,Capitol Hill,915 E Harrison St,Seattle,Washington,1928,5,No visible,R,2,GSV,244,-122.320279506909,47.6219516066888
M,Capitol Hill,915 E Pine St,Seattle,Washington,1908,4,No visible,C/O,3,GSV,245,-122.319869243624,47.6152218920813
H,Capitol Hill,925 E Pike St,Seattle,Washington,1916,1,Sub Alt,P,3,PR,246,-122.319778333219,47.6140715233595
M,Cascade/Eastlake,1017 Boren Ave,Seattle,Washington,1925,5,No visible,R,3,GSV,247,-122.325642065575,47.609846511889
H,Cascade/Eastlake,1027 Bellevue Court E,Seattle,Washington,1910,4,Permit,R,2,Ph,248,-122.327083814893,47.6274773388207
M,Cascade/Eastlake,1114 Howell St,Seattle,Washington,1930,1,Permit,C,2,GSV,249,-122.330889238337,47.6166240132772
M,Cascade/Eastlake,112 5th Ave N,Seattle,Washington,1905,2,No visible,O,2,GSV,250,-122.347578324738,47.6190482952581
M,Cascade/Eastlake,1124 Eastlake Ave E,Seattle,Washington,1917,2,No visible,O,2,GSV,251,-122.328717874649,47.6295263235701
M,Cascade/Eastlake,117 Yale Ave N,Seattle,Washington,1927,2,No visible,C,2,WC,252,-122.330449837297,47.6192091375055
M,Cascade/Eastlake,1200 Stewart St,Seattle,Washington,1906,1,No visible,C/O,2,GSV,253,-122.331647992257,47.6178140092604
M,Cascade/Eastlake,1255 Westlake Ave N,Seattle,Washington,1920,2,No visible,C,2,GSV,254,-122.341030431869,47.6313095701718
M,Cascade/Eastlake,1265 Republican St,Seattle,Washington,1906,2,Sub Alt,C,3,Field,255,-122.330839121327,47.6231124649529
C,Cascade/Eastlake,1275 Mercer St,Seattle,Washington,1928,1,Sub Alt,S,3,PR,256,-122.330819307187,47.6242523438465
M,Cascade/Eastlake,1287 Westlake Ave N,Seattle,Washington,1920,1,No visible,O,2,Ph,257,-122.341009452613,47.6321417511945
M,Cascade/Eastlake,133 Dexter Ave N,Seattle,Washington,1931,1,No visible,O,2,GSV,258,-122.342430221779,47.6195389797621
M,Cascade/Eastlake,133 Pontius Ave N,Seattle,Washington,1916,4,Visible,R,2,GSV,259,-122.332259890492,47.6194981865452
C,Cascade/Eastlake,1501 10th Ave E,Seattle,Washington,1930,3,Permit,S,3,PR,260,-122.320140809724,47.6326569115276
M,Cascade/Eastlake,1809 Minor Ave,Seattle,Washington,1917,2,Sub Alt,C/R,2,Ph,261,-122.330933528874,47.6170237868184
M,Cascade/Eastlake,1814 Minor Ave,Seattle,Washington,1905,3,Permit,R,2,PR,262,-122.330934693988,47.6170948831057
H,Cascade/Eastlake,1828 Yale Ave,Seattle,Washington,1922,1,Permit,P,3,GSV,263,-122.330594361853,47.618064596294
M,Cascade/Eastlake,1925 5th Ave,Seattle,Washington,1928,2,No visible,C/O,2,SIM,264,-122.338913846549,47.613503915304
M,Cascade/Eastlake,1932 9th Ave,Seattle,Washington,1917,1,No visible,C,2,GSV,265,-122.335503533608,47.6162953364763
M,Cascade/Eastlake,1933 5th Ave,Seattle,Washington,1923,3,No visible,C/O,3,PR,266,-122.339084012617,47.6136041495614
M,Cascade/Eastlake,2008 Westlake Ave,Seattle,Washington,1907,3,Visible,C/R,2,GSV,267,-122.337820588763,47.6154072100324
M,Cascade/Eastlake,2014 4th Ave,Seattle,Washington,1917,4,No visible,R,2,Ph,268,-122.340655133709,47.6134351492528
M,Cascade/Eastlake,2021 4th Ave,Seattle,Washington,1915,5,No visible,R,2,GSV,269,-122.340813645034,47.6134537974976
M,Cascade/Eastlake,2022 Boren Ave,Seattle,Washington,1929,1,No visible,C,3,GSV,270,-122.334743614574,47.6181846449037
M,Cascade/Eastlake,2027 5th Ave,Seattle,Washington,1920,1,Permit,O,2,GSV,271,-122.340194753414,47.6142533445811
M,Cascade/Eastlake,2035 4th Ave,Seattle,Washington,1926,2,No visible,C,2,PR,272,-122.341184280039,47.6136740811277
M,Cascade/Eastlake,2045 Westlake Ave,Seattle,Washington,1909,3,Visible,C/R,3,Field,273,-122.337988423703,47.6158920663578
H,Cascade/Eastlake,2100 5th Ave,Seattle,Washington,1927,2,Sub Alt,P,3,PR,274,-122.340684272362,47.6146845869378
M,Cascade/Eastlake,2118 3rd Ave,Seattle,Washington,1914,2,Permit,O,2,PR,275,-122.342834656794,47.6135750115326
M,Cascade/Eastlake,2121 Westlake Ave,Seattle,Washington,1925,4,Sub Alt,C/O,3,PR,276,-122.338318265312,47.617450367331
M,Cascade/Eastlake,2127 5th Ave,Seattle,Washington,1924,1,Permit,O,2,PR,277,-122.341494308407,47.6150237537237
M,Cascade/Eastlake,2132 3rd Ave,Seattle,Washington,1919,2,No visible,O,2,GSV,278,-122.343304361602,47.6138454127367
M,Cascade/Eastlake,2132 5th Ave,Seattle,Washington,1922,4,No visible,R,2,GSV,279,-122.341574729184,47.6151950851496
M,Cascade/Eastlake,2200 4th Ave,Seattle,Washington,1923,1,Visible,Mixed,2,GSV-R,280,-122.342824167167,47.614725380277
M,Cascade/Eastlake,2211 5th Ave,Seattle,Washington,1913,2,No visible,C/O,3,GSV,281,-122.3422344142,47.6154538306906
M,Cascade/Eastlake,2212 4th Ave,Seattle,Washington,1924,1,No visible,O,2,Ph,282,-122.34319480307,47.6149444982916
M,Cascade/Eastlake,2218 4th Ave,Seattle,Washington,1924,1,Permit,C,3,GSV-R,283,-122.343374292752,47.6150447328156
M,Cascade/Eastlake,2226 3rd Ave,Seattle,Washington,1929,2,Visible,O,2,Ph,284,-122.344413937285,47.6145050968365
M,Cascade/Eastlake,2230 4th Ave,Seattle,Washington,1922,4,No visible,R,3,GSV,285,-122.343674997505,47.6152253885839
M,Cascade/Eastlake,227 9th Ave N,Seattle,Washington,1931,1,No visible,C,2,GSV,286,-122.339840435408,47.620529671741
M,Cascade/Eastlake,228 9th Ave N,Seattle,Washington,1928,1,No visible,O,2,GSV,287,-122.339758848618,47.6204690649479
M,Cascade/Eastlake,2302 4th Ave,Seattle,Washington,1918,4,No visible,R,2,GSV,288,-122.344064281535,47.6154549963882
M,Cascade/Eastlake,2315 4th Ave,Seattle,Washington,1923,1,No visible,C,3,Field,289,-122.344584103352,47.6156939281174
M,Cascade/Eastlake,2321 4th Ave,Seattle,Washington,1918,4,No visible,R,2,GSV,290,-122.344704151512,47.6157638593112
M,Cascade/Eastlake,2329 4th Ave,Seattle,Washington,1946,1,No visible,C,2,Ph,291,-122.344934925115,47.6158943971279
M,Cascade/Eastlake,2330 3rd Ave,Seattle,Washington,1918,1,No visible,C/O,3,GSV,292,-122.345844030962,47.6153745753047
M,Cascade/Eastlake,2331 7th Ave,Seattle,Washington,1936,1,No visible,C,2,Ph,293,-122.342533952939,47.6179736854248
M,Cascade/Eastlake,234 Dexter Ave N,Seattle,Washington,1933,1,No visible,O,2,GSV,294,-122.342328820848,47.6207091617489
M,Cascade/Eastlake,234 Fairview Ave N,Seattle,Washington,1926,1,No visible,C,2,GSV,295,-122.334278572022,47.6206893480886
M,Cascade/Eastlake,2600 3rd Ave,Seattle,Washington,1911,2,No visible,O,2,GSV,296,-122.348154091835,47.6167149234655
M,Belltown,81 Vine St,Seattle,Washington,1914,6,Permit,C/R,3,GSV,297,-122.350240373386,47.6148046360412
M,Cascade/Eastlake,2602 4th Ave,Seattle,Washington,1923,4,Permit,R,2,GSV,298,-122.34723449636,47.6173349802637
M,Belltown,87 Wall St,Seattle,Washington,1912,2,No visible,O,2,GSV,299,-122.349281150529,47.6142754897059
M,Cascade/Eastlake,305 Bell St,Seattle,Washington,1925,1,No visible,C,2,GSV,300,-122.344510675061,47.6149048708333
M,Broadview/Bitter Lake,12431 Greenwood Ave N,Seattle,Washington,1929,1,No visible,C,2,GSV,301,-122.355620415962,47.719459042061
M,Cascade/Eastlake,308 Bell St,Seattle,Washington,1916,4,No visible,R,2,GSV,302,-122.344598089223,47.6149141946945
C,Broadview/Bitter Lake,415 N 117th St,Seattle,Washington,1938,2,Permit,S,3,PR,303,-122.353520147642,47.714122124112
M,Cascade/Eastlake,310 Terry Ave N,Seattle,Washington,1915,2,Sub Alt,C,3,PR,304,-122.337149249005,47.6214900609036
C,Capitol Hill,1002 E Seneca St,Seattle,Washington,1922,1,Sub Alt,S,3,Ph,305,-122.318968296276,47.6122066910135
M,Capitol Hill,1020 E Denny Way,Seattle,Washington,1907,3,No visible,R,2,PR,306,-122.318519570723,47.6187674049144
M,Capitol Hill,105 Harvard Ave E,Seattle,Washington,1928,5,No visible,R,3,GSV,307,-122.322230587519,47.6189189224584
M,Capitol Hill,1100 E Pike St,Seattle,Washington,1912,3,Visible,C/O,2,GSV,308,-122.318088715357,47.614144757698
M,Capitol Hill,1101 E Pike St,Seattle,Washington,1911,3,Permit,C/O,3,Ph,309,-122.317858720593,47.6140925028333
M,Capitol Hill,1107 E Denny Way,Seattle,Washington,1910,3,No visible,R,2,Field,310,-122.317768976201,47.6187114603951
M,Capitol Hill,111 Broadway E,Seattle,Washington,1927,1,Visible,C,2,GSV,311,-122.320920542899,47.6190785988814
C,Capitol Hill,1115 Harvard Ave,Seattle,Washington,1910,2,No visible,S,3,GSV,312,-122.321644330795,47.6121880423239
M,Capitol Hill,1134 Broadway,Seattle,Washington,1927,1,No visible,C,3,GSV,313,-122.320758535331,47.6122789529574
M,Capitol Hill,115 Belmont Ave E,Seattle,Washington,1926,1,No visible,C,3,Ph,314,-122.324040640714,47.6189993435401
M,Capitol Hill,1201 Pine St,Seattle,Washington,1912,1,No visible,C,2,Field,315,-122.328597825592,47.6149526570425
H,Capitol Hill,1213 E Pine St,Seattle,Washington,1927,1,No visible,P,3,PR,316,-122.315939108866,47.6152323815885
M,Capitol Hill,1215 Seneca St,Seattle,Washington,1928,5,Permit,C/R,3,PR,317,-122.324649042707,47.6114829027192
M,Capitol Hill,1222 Summit Ave,Seattle,Washington,1916,4,No visible,R,2,Ph,318,-122.324565124788,47.6121111183774
M,Capitol Hill,1224 Madison St,Seattle,Washington,1924,1,Visible,C,2,Ph,319,-122.323251583925,47.6101751886479
M,Capitol Hill,1305 E Denny Way,Seattle,Washington,1922,3,No visible,R,2,Field,320,-122.315268934223,47.6187417636081
M,Capitol Hill,1305 E Madison St,Seattle,Washington,1907,4,No visible,R,2,GSV,321,-122.315268934223,47.6134328183731
M,Capitol Hill,1319 E Madison St,Seattle,Washington,1920,2,No visible,C,2,GSV,322,-122.314828368068,47.6136227983516
M,Capitol Hill,1325 E Madison St,Seattle,Washington,1937,1,No visible,C,3,GSV,323,-122.314767760533,47.6136426122675
M,Capitol Hill,135 Harvard Ave E,Seattle,Washington,1927,4,No visible,R,2,GSV,324,-122.322230587519,47.6196998211054
M,Capitol Hill,1351 E Olive Way,Seattle,Washington,1925,1,No visible,C,2,Ph,325,-122.327538367817,47.6167533857001
M,Capitol Hill,1400 Broadway,Seattle,Washington,1911,2,No visible,C,2,GSV,326,-122.320758535331,47.6130901555236
M,Capitol Hill,1401 12th Ave,Seattle,Washington,1913,1,No visible,C,2,Ph,327,-122.316849379828,47.6131635832066
M,Capitol Hill,1406 Harvard Ave,Seattle,Washington,1908,2,Visible,R,2,Field,328,-122.322048766709,47.6131600865661
M,Capitol Hill,1412 12th Ave,Seattle,Washington,1919,4,Sub Alt,C/R,3,PR,329,-122.316778283563,47.6134701148578
M,Capitol Hill,1412 Summit Ave,Seattle,Washington,1908,5,No visible,R,2,Field,330,-122.325459079649,47.6133698803434
M,Capitol Hill,1414 Broadway,Seattle,Washington,1907,2,No visible,C,2,Field,331,-122.320758535331,47.6133896937496
M,Capitol Hill,1414 E Denny Way,Seattle,Washington,1915,4,No visible,R,2,GSV,332,-122.313626715967,47.6187755636743
M,Capitol Hill,1414 Seneca St,Seattle,Washington,1918,4,No visible,R,2,GSV,333,-122.322357629961,47.6125237122684
C,Capitol Hill,1415 Summit Ave,Seattle,Washington,1904,2,Permit,S,3,GSV,334,-122.325540665542,47.6133885286116
M,Capitol Hill,1420 Broadway,Seattle,Washington,1904,2,Visible,C,2,GSV-R,335,-122.320769024958,47.613559859945
M,Capitol Hill,1421 15th Ave,Seattle,Washington,1907,4,No visible,R,2,Ph,336,-122.312809686538,47.6136099776497
M,Capitol Hill,1423 10th Ave,Seattle,Washington,1907,2,No visible,C,3,Ph,337,-122.319469469966,47.6136775777338
M,Capitol Hill,1424 10th Ave,Seattle,Washington,1913,2,No visible,C,2,Ph,338,-122.319389049189,47.6136915635504
M,Capitol Hill,1450 E Republican St,Seattle,Washington,1926,3,No visible,R,2,GSV,339,-122.313369136636,47.6231264512734
H,Capitol Hill,1500 Bellevue Ave,Seattle,Washington,1910,3,No visible,P,3,Field,340,-122.326758634642,47.6143395929736
M,Capitol Hill,1501 E Olive Way,Seattle,Washington,1916,1,No visible,C,2,SIM,341,-122.326023191105,47.6179783479902
M,Capitol Hill,1505 10th Ave,Seattle,Washington,1910,3,Permit,C/R,3,GSV,342,-122.319490449221,47.6142684965733
M,Capitol Hill,1505 Broadway,Seattle,Washington,1913,2,No visible,C,3,PR,343,-122.320850611749,47.6143698969037
