key,lat,lng
Bellevue|Olympus Middle School (part of Interlake HS),47.630644,-122.122158
Bellevue|Phantom Lake Elementary,47.600327,-122.12548
Bellevue|Ringdall Middle School - Chinook MS Temp Location,47.55054,-122.18395
Bellevue|Robinswood (Big Picture School),47.590897,-122.141546
Bellevue|Sammamish Senior High,47.607931,-122.15213
Bellevue|Sherwood Forest Elementary,47.630396,-122.12026
Bellevue|Somerset Elementary,47.563095,-122.1519
Bellevue|Spiritridge Elementary,47.587961,-122.1201
Bellevue|Stevenson Elementary,47.617701,-122.15036
Bellevue|Sunset Elementary (Puesta del Sol),47.575117,-122.16245
Bellevue|Three Points Elementary,47.635631,-122.235225
Bellevue|Tillicum Middle,47.598627,-122.12517
Bellevue|Tyee Middle,47.573051,-122.15796
Bellevue|Woodridge Elementary,47.592499,-122.176
Bellingham|Alderwood Elementary,48.778,-122.5265
Bellingham|Bellingham High,48.7569,-122.4739
Bellingham|Birchwood Elementary,48.774793,-122.50521
Bellingham|Carl Cozier Elementary,48.745348,-122.46077
Bellingham|Columbia Elementary,48.763482,-122.49223
Bellingham|Cordata Elementary,48.801327,-122.507031
Bellingham|Fairhaven Middle,48.714623,-122.50258
Bellingham|Geneva Elementary,48.74793,-122.4024
Bellingham|Happy Valley Elementary School (old),48.722423,-122.4851
Bellingham|Kulshan Middle,48.745479,-122.43277
Bellingham|Larrabee Elementary,48.718946,-122.4936
Bellingham|Lowell Elementary,48.724535,-122.4992
Bellingham|Northern Heights Elementary,48.7828,-122.4209
Bellingham|Parkview Elementary,48.77163,-122.47875
Bellingham|Roosevelt Elementary,48.7679,-122.4416
Bellingham|Sehome High,48.7274,-122.4814
Bellingham|Shuksan Middle,48.7793,-122.5011
Bellingham|Silver Beach Elementary,48.7687,-122.4164
Bellingham|Squalicum High,48.784,-122.4226
Bellingham|Sunnyland Elementary,48.7673,-122.464
Bellingham|Wade King Elementary,48.718607,-122.4428
Bellingham|Whatcom Middle,48.759,-122.48
Benge|Benge Elementary,46.910841,-118.09993
Bethel|Bethel High,47.0541302,-122.3785641
Bethel|Bethel Middle,47.05816,-122.3789444
Bethel|Camas Prairie Elementary,47.0965787,-122.4274711
Bethel|Cedarcrest Middle,47.0839341,-122.413818
Bethel|Centennial Elementary,47.0360129,-122.3556527
Bethel|Challenger High,47.0924497,-122.4295679
Bethel|Chester H. Thompson Elementary,47.1127414,-122.4263388
Bethel|Clover Creek Elementary,47.1023477,-122.3804934
Bethel|Cougar Mountain Middle,47.019515,-122.3621368
Bethel|Elk Plain School of Choice,47.0565531,-122.3993767
Bethel|Evergreen Elementary,47.1011416,-122.4117119
Bethel|Frederickson Elementary,47.0994433,-122.33132
Bethel|Frontier Middle,47.0556221,-122.2876675
Bethel|Graham Elementary,47.0706347,-122.2970065
Bethel|Graham Kapowsin High,47.0570118,-122.2867875
Bethel|Kapowsin Elementary,47.015645,-122.2924439
Bethel|Liberty Middle,47.0694817,-122.3295517
Bethel|Naches Trail Elementary,47.1176202,-122.3884188
Bethel|Nelson Elementary,47.055178,-122.2861515
Bethel|North Star Elementary,47.0543801,-122.3280299
Bethel|Pierce County Skills Center,47.1097667,-122.3560006
Bethel|Pioneer Valley Elementary,47.0705772,-122.3308725
Bethel|Rocky Ridge Elementary,47.020012,-122.3455432
Bethel|Roy Elementary,47.0011499,-122.5423007
Bethel|Shining Mountain Elementary,47.0599611,-122.3782425
Bethel|Spanaway Elementary,47.1073514,-122.4386518
Bethel|Spanaway Lake High,47.1052456,-122.4128816
Bethel|Spanaway Middle,47.1151581,-122.4282011
